Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D63;0.016393;-0.106874;-0.147541;-0.04918;-0.163934;-0.016393;0.0;-0.156116;-0.016393
D88;0.031028;-0.096192;-0.167053;-0.039424;-0.490764;-0.016393;0.014634;-0.879746;-0.001759
D50;0.034192;-0.095791;-0.163889;-0.039424;-0.59203;-0.016393;-0.450556;-0.939052;0.001405
D42;0.035467;-0.108427;-0.262485;-0.043635;-0.758345;-0.047622;-0.449503;-1.117366;0.005967
D23;0.046336;-0.097299;-0.298717;-0.054504;-1.13878;-0.076607;-0.453126;-1.302801;0.002343
D11;0.039669;-0.1036;-0.283161;-0.078949;-1.139891;-0.106607;-0.449793;-1.630117;-0.027657
D121;0.07572;-0.25513;-0.45871;-0.204341;-1.506662;-0.106607;-0.443523;-1.831281;-0.195368
D29;0.078608;-0.243221;-0.467377;-0.205007;-1.557329;-0.113274;-0.444412;-2.080411;-0.191813
D56;0.061802;-0.291243;-0.492587;-0.255427;-1.750606;-0.113274;-0.822564;-2.238394;-0.183409
D64;0.048103;-0.500128;-0.643272;-0.282825;-2.161565;-0.15437;-0.863659;-2.280614;-0.265601
D72;0.078619;-0.476549;-0.619354;-0.281175;-2.771462;-0.176638;-0.927989;-2.254271;-0.231787
D93;0.075952;-0.486418;-0.566021;-0.289175;-2.848795;-0.187304;-0.943989;-2.376532;-0.234453
D51;0.075952;-0.486418;-0.566021;-0.289175;-3.324986;-0.187304;-1.42018;-2.643199;-0.234453
D6;0.110238;-0.507763;-0.674592;-0.33489;-3.524986;-0.244447;-1.403037;-2.936016;-0.188739
D89;0.12742;-0.486625;-0.684902;-0.310835;-3.720862;-0.247884;-1.382418;-3.108049;-0.154375
D67;0.133999;-0.53952;-0.811217;-0.33715;-3.920862;-0.266305;-1.371892;-2.938389;-0.147796
D61;0.12914;-0.540896;-0.818992;-0.343953;-3.966538;-0.281854;-1.395216;-3.117689;-0.148768
D118;0.153986;-0.538614;-0.844676;-0.336974;-4.381111;-0.298604;-1.371207;-3.028884;-0.133413
D7;0.220653;-0.594446;-0.878009;-0.40364;-4.781111;-0.265271;-1.337873;-2.929218;-0.066746
D86;0.220653;-0.594446;-0.878009;-0.40364;-5.466825;-0.265271;-1.337873;-2.943604;-0.066746
D71;0.240133;-0.596019;-0.878009;-0.423121;-5.765526;-0.271764;-1.33138;-2.6375;-0.047266
D20;0.262157;-0.562915;-0.911521;-0.401157;-6.224931;-0.282657;-1.316558;-2.556705;-0.026492
D77;0.262157;-0.555347;-1.311521;-0.401157;-6.624931;-0.31599;-1.283225;-2.415876;0.040175
D15;0.262157;-0.618581;-1.13295;-0.472585;-6.660645;-0.31599;-1.247511;-2.520018;0.147318
D55;0.262157;-0.607125;-1.148575;-0.472585;-6.67627;-0.31599;-1.231886;-2.55606;0.162943
D100;0.222157;-0.610192;-1.031241;-0.507252;-6.865603;-0.329324;-1.231886;-2.897151;0.122943
D94;0.253824;-0.643519;-0.989575;-0.497252;-6.858937;-0.32599;-1.303553;-2.705484;0.136276
D123;0.292785;-0.633786;-0.963601;-0.484265;-6.884911;-0.300016;-1.277578;-2.553175;0.188224
D60;0.320563;-0.669768;-1.066631;-0.495376;-7.203598;-0.355067;-1.273033;-2.242648;0.141759
D9;0.320563;-0.761097;-0.916631;-0.545376;-7.453598;-0.255067;-1.173033;-2.392648;0.291759
D1;0.380563;-0.761456;-0.966631;-0.505376;-8.143598;-0.235067;-1.113033;-2.41567;0.301759
D58;0.380563;-0.761456;-0.966631;-0.505376;-8.143598;-0.235067;-1.113033;-2.444824;0.301759
D40;0.380563;-0.74457;-0.968146;-0.500073;-8.222386;-0.233552;-1.113033;-2.562215;0.308577
D96;0.373896;-0.798895;-0.872591;-0.560073;-8.395719;-0.213552;-1.2197;-2.028882;0.321911
D35;0.32715;-0.929175;-0.995667;-0.694984;-9.27205;-0.331303;-1.276504;-2.464961;0.303568
D119;0.328124;-0.925443;-0.997776;-0.695309;-9.327696;-0.333412;-1.278938;-2.76123;0.302594
D43;0.319352;-0.97174;-1.025145;-0.751098;-9.394012;-0.249904;-1.333675;-2.909666;0.34084
D16;0.363352;-0.997556;-0.977145;-0.767098;-9.614012;-0.245904;-1.357675;-2.90748;0.33684
D112;0.345793;-1.060915;-0.825257;-0.886501;-9.959051;-0.208151;-1.303241;-3.145203;0.364057
D48;0.345793;-1.104887;-0.831924;-0.886501;-10.332385;-0.228151;-1.303241;-3.83187;0.344057
