Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D39;0.005405;-0.009910;-0.091892;-0.000901;0.005405;-0.006306;-0.387387;-0.092793;0.006306
D22;0.030267;0.002061;-0.113071;0.038694;0.008168;0.031447;-0.594570;-0.008078;0.001702
D55;0.025685;0.018097;-0.193254;0.045567;0.013895;0.033738;-0.583115;0.027431;0.006284
D68;0.040577;0.052462;-0.242509;0.058167;0.021914;0.044047;-0.569369;-0.065352;0.005139
D25;0.170577;0.075795;-0.244509;0.094834;0.037247;0.054047;-0.532036;-0.059352;0.031139
D98;0.158231;-0.016798;-0.361793;0.113352;-0.030654;0.047874;-0.556727;-0.244537;0.043484
D89;0.158231;-0.023464;-0.445127;0.113352;-0.030654;0.044541;-0.556727;-0.387871;0.040151
D72;0.148453;-0.027909;-0.480682;0.101797;-0.042210;0.037430;-0.551394;-0.183426;0.037484
D6;0.181786;-0.061242;-0.464015;0.185130;0.041123;0.104097;-0.468061;-0.133426;0.137484
D100;0.134167;-0.078558;-0.477002;0.185130;0.036794;0.138729;-0.485377;-0.336889;0.154800
D83;0.136870;-0.065045;-0.509435;0.196842;0.044002;0.139629;-0.474566;-0.447700;0.162908
D63;0.181315;0.023844;-0.642768;0.230175;0.010668;0.195185;-0.430121;-0.447700;0.185131
D101;0.176986;0.019515;-0.668742;0.221517;-0.002319;0.190856;-0.469082;-0.551596;0.202447
D5;0.243652;0.008404;-0.746520;0.177073;-0.035652;0.135300;-0.535749;-0.629374;0.135780
D77;0.289208;-0.076040;-0.844298;0.219850;0.011015;0.147523;-0.624082;-0.804930;0.118002
D67;0.290834;-0.056528;-0.844298;0.219850;-0.000368;0.142645;-0.619204;-0.873222;0.124506
D50;0.277135;-0.125021;-0.889960;0.233549;-0.059728;0.156343;-0.632903;-1.028473;0.110808
D65;0.277135;-0.125021;-0.915357;0.233549;-0.059728;0.156343;-0.632903;-1.101489;0.110808
D56;0.290122;-0.094718;-0.928344;0.233549;-0.046741;0.173659;-0.619916;-0.967290;0.119466
D52;0.284567;-0.178052;-1.128344;0.216882;-0.057852;0.173659;-0.642138;-1.067290;0.130577
D69;0.279689;-0.165043;-1.159238;0.213630;-0.062730;0.170407;-0.653520;-1.198997;0.128951
D47;0.280336;-0.155325;-1.165717;0.205208;-0.067266;0.167168;-0.666478;-1.292940;0.115345
D75;0.234411;-0.190140;-1.185717;0.169652;-0.074673;0.163464;-0.899070;-1.317384;0.113864
D64;0.239073;-0.183924;-1.223013;0.169264;-0.071953;0.164241;-0.894408;-1.316607;0.111533
D1;0.229073;-0.207257;-1.266346;0.165930;-0.088620;0.167574;-0.894408;-1.419941;0.121533
D59;0.233066;-0.204329;-1.274600;0.152086;-0.102731;0.166776;-0.923961;-1.561048;0.063759
D16;0.236689;-0.191044;-1.291508;0.149671;-0.105146;0.161945;-0.940869;-1.643174;0.062551
D84;0.237756;-0.210244;-1.322975;0.139004;-0.114213;0.147012;-0.951536;-1.829307;0.039618
D88;0.253141;-0.225628;-1.340923;0.141568;-0.114213;0.159832;-0.948972;-1.867769;0.049874
D92;0.202215;-0.216369;-1.306201;0.190179;-0.197546;0.152888;-0.983694;-1.856194;-0.033459
D61;0.277363;-0.222306;-1.358449;0.280425;-0.130880;0.178503;-0.923813;-2.022437;-0.062637
D73;0.244585;-0.246751;-1.342338;0.272092;-0.133657;0.200169;-1.081035;-1.981326;-0.035414
D26;0.230581;-0.287185;-1.354764;0.226727;-0.143322;0.194055;-1.127386;-2.086257;-0.178018
D13;0.230581;-0.311185;-1.393430;0.184060;-0.179322;0.167388;-1.150053;-2.100924;-0.247351
D62;0.205788;-0.426887;-1.550455;0.097283;-0.220644;0.139840;-1.274020;-2.274477;-0.283164
D60;0.291793;-0.450297;-1.669878;0.185663;-0.163986;0.154768;-1.220245;-2.518922;-0.355598
D31;0.295908;-0.448651;-1.705269;0.186486;-0.157813;0.159295;-1.218599;-2.552667;-0.383993
D57;0.301132;-0.440678;-1.742795;0.191435;-0.157676;0.147061;-1.408015;-2.815072;-0.377945
