Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D39;0.006306;-0.003604;-0.103604;-0.015315;-0.135135;-0.020721;-0.045045;-0.009910;-0.000000
D22;0.045901;-0.033990;-0.110049;-0.026365;-0.120402;-0.023483;-0.079115;-0.032009;-0.027624
D55;-0.002209;-0.035136;-0.122650;-0.020638;-0.127275;-0.069302;-0.063078;-0.023991;-0.001278
D68;0.012682;-0.023681;-0.113486;-0.011474;-0.114675;-0.055556;-0.049333;-0.017118;0.011322
D25;0.030682;-0.060348;-0.025486;-0.052141;-0.140675;-0.041556;-0.085999;-0.059118;-0.022011
D98;0.018337;-0.097385;-0.056350;-0.095350;-0.220922;-0.146495;-0.172419;-0.164056;-0.052876
D89;0.035003;-0.130718;-0.059683;-0.118684;-0.240922;-0.176495;-0.205752;-0.210723;-0.062876
D72;0.015448;-0.139607;0.022095;-0.122239;-0.257811;-0.209384;-0.212864;-0.224056;-0.073542
D6;-0.001219;-0.156274;-0.061239;-0.138906;-0.291144;-0.292717;-0.212864;-0.207390;-0.090209
D100;0.011768;-0.195235;-0.139161;-0.199512;-0.377724;-0.327349;-0.243167;-0.263667;-0.124841
D83;0.019876;-0.188027;-0.135557;-0.212125;-0.401147;-0.327349;-0.253076;-0.278982;-0.126643
D63;0.075432;-0.154694;-0.257779;-0.212125;-0.401147;-0.327349;-0.253076;-0.267871;-0.126643
D101;0.066774;-0.206642;-0.335702;-0.294376;-0.487728;-0.370639;-0.318012;-0.319819;-0.191578
D5;0.033440;-0.295531;-0.502368;-0.516598;-0.654394;-0.426195;-0.462456;-0.486486;-0.258245
D77;0.048440;-0.369420;-0.527924;-0.568265;-0.697172;-0.457861;-0.523567;-0.603708;-0.276022
D67;0.071205;-0.353160;-0.568574;-0.563387;-0.682538;-0.483878;-0.515437;-0.593952;-0.269518
D50;0.020976;-0.412521;-0.586839;-0.581651;-0.714501;-0.575202;-0.547400;-0.625915;-0.369975
D65;0.036849;-0.406171;-0.564617;-0.584826;-0.717676;-0.600599;-0.547400;-0.613217;-0.373150
D56;0.047672;-0.414829;-0.586262;-0.606471;-0.711182;-0.652547;-0.510604;-0.587243;-0.345011
D52;0.069894;-0.492607;-0.641817;-0.639804;-0.872294;-0.680324;-0.527271;-0.592798;-0.356122
