Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D39;0.009009;-0.001802;-0.074775;-0.009910;0.001802;-0.015315;-0.236937;-0.044144;0.006306
D22;-0.005724;-0.019297;-0.009397;0.000219;0.014693;-0.006107;-0.470823;0.102265;0.004465
D55;0.009167;-0.006697;-0.013979;0.005946;0.029584;0.003057;-0.465095;0.111428;-0.003554
D68;0.038950;0.008194;-0.018561;0.017401;0.039894;0.001911;-0.452495;0.057591;0.004465
D25;0.240283;-0.013806;-0.052561;0.044734;-0.000773;-0.026756;-0.427162;-0.098409;0.035131
D98;0.283493;-0.137263;-0.095771;0.044734;-0.025464;-0.039101;-0.451853;-0.141619;-0.075980
D89;0.286826;-0.133929;-0.095771;0.048068;-0.022131;-0.042435;-0.448520;-0.204952;-0.072646
D72;0.275271;-0.165040;-0.095771;0.047179;-0.018576;-0.042435;-0.447631;-0.280508;-0.047758
D6;0.291937;-0.231707;-0.162438;0.047179;-0.068576;-0.042435;-0.480964;-0.313841;-0.114424
D100;0.317911;-0.270668;-0.184083;0.034192;-0.064247;-0.072738;-0.519925;-0.530291;-0.131740
D83;0.316109;-0.272470;-0.203902;0.034192;-0.071454;-0.085350;-0.522628;-0.596958;-0.138947
D63;0.349443;-0.305803;-0.326125;0.000859;-0.138120;-0.085350;-0.567072;-0.619180;-0.116725
D101;0.371088;-0.336106;-0.347770;-0.025115;-0.146778;-0.098337;-0.593046;-0.753379;-0.116725
D5;0.393310;-0.324995;-0.347770;-0.058449;-0.102334;-0.098337;-0.604158;-0.853379;-0.094503
D77;0.413866;-0.441662;-0.402770;-0.127893;-0.101223;-0.140004;-0.679713;-0.798935;-0.111725
D67;0.425248;-0.433532;-0.427160;-0.113259;-0.097971;-0.135126;-0.663453;-1.031455;-0.110099
D50;0.438946;-0.515723;-0.454557;-0.145223;-0.111669;-0.153391;-0.718248;-1.017756;-0.132930
D65;0.438946;-0.515723;-0.454557;-0.145223;-0.111669;-0.153391;-0.718248;-1.024106;-0.132930
D56;0.436782;-0.530875;-0.474038;-0.179855;-0.144137;-0.172871;-0.726906;-0.935361;-0.139424
D52;0.442337;-0.558653;-0.668482;-0.185410;-0.127470;-0.183982;-0.749128;-1.002028;-0.139424
D69;0.442337;-0.548897;-0.692872;-0.178906;-0.119340;-0.183982;-0.744250;-1.172759;-0.131294
D47;0.444281;-0.547277;-0.695140;-0.183441;-0.118368;-0.187870;-0.751700;-1.228153;-0.130970
D75;0.445763;-0.578388;-0.667733;-0.199738;-0.146517;-0.204166;-0.964293;-1.001486;-0.136155
D64;0.457418;-0.583439;-0.673560;-0.197407;-0.144186;-0.206497;-0.963904;-0.977011;-0.133047
D1;0.477418;-0.613439;-0.703560;-0.200740;-0.190852;-0.213164;-0.950571;-1.090344;-0.186380
D59;0.493658;-0.616101;-0.717405;-0.217779;-0.196177;-0.224079;-0.998494;-1.226127;-0.226583
D16;0.496074;-0.602816;-0.723443;-0.218987;-0.186515;-0.232534;-1.002118;-1.281682;-0.225375
D84;0.503007;-0.604416;-0.725043;-0.219520;-0.191849;-0.259200;-0.994118;-1.343016;-0.228042
D88;0.531212;-0.601852;-0.737864;-0.237469;-0.202105;-0.261764;-0.991553;-1.317375;-0.220349
D92;0.471027;-0.678241;-0.673049;-0.251358;-0.285438;-0.294172;-1.063313;-1.278023;-0.275905
D61;0.475268;-0.711320;-0.815373;-0.263911;-0.278483;-0.335054;-1.053474;-1.422552;-0.349018
D73;0.488601;-0.727431;-0.777040;-0.266133;-0.266261;-0.329498;-1.132363;-1.387552;-0.346795
D26;0.519370;-0.703565;-0.749821;-0.235167;-0.183815;-0.308788;-1.105933;-1.466250;-0.297288
D13;0.500704;-0.763565;-0.764487;-0.287167;-0.205149;-0.328788;-1.145933;-1.520917;-0.351955
D62;0.510346;-0.817284;-0.786526;-0.310583;-0.195507;-0.370110;-1.158329;-1.540201;-0.373994
D60;0.563611;-0.865969;-0.859639;-0.320252;-0.180579;-0.395386;-1.158838;-1.710175;-0.466784
D31;0.595298;-0.859796;-0.870338;-0.318194;-0.185517;-0.392917;-1.159661;-1.744332;-0.473369
D57;0.611381;-0.859384;-0.877486;-0.317644;-0.180019;-0.410374;-1.197874;-1.750517;-0.468832
D42;0.616983;-0.864986;-0.871884;-0.314843;-0.166013;-0.396368;-1.570424;-1.789733;-0.452026
D78;0.558316;-0.916542;-0.874550;-0.354843;-0.205124;-0.414146;-1.592646;-1.918622;-0.481359
